policy,expert,expert_call_rate,group,n,green_error_rate,expert_error_rate,green_mean_confidence,green_mean_margin,green_mean_entropy,referable_dr_rate_true_ge2,severe_or_pdr_rate_true_ge3,pdr_rate_true_eq4,true_grade_0_count,true_grade_0_rate,true_grade_1_count,true_grade_1_rate,true_grade_2_count,true_grade_2_rate,true_grade_3_count,true_grade_3_rate,true_grade_4_count,true_grade_4_rate,green_error_count,referable_dr_true_ge2_count,referable_dr_true_ge2_rate,severe_or_pdr_true_ge3_count,severe_or_pdr_true_ge3_rate,pdr_true_eq4_count,pdr_true_eq4_rate,green_referable_miss_true_ge2_pred_le1_count,green_referable_miss_true_ge2_pred_le1_rate,green_vtdr_miss_true_ge3_pred_le2_count,green_vtdr_miss_true_ge3_pred_le2_rate,green_large_undergrading_true_ge4_pred_le2_count,green_large_undergrading_true_ge4_pred_le2_rate,green_two_step_undergrading_count,green_two_step_undergrading_rate
high_entropy,retfound_mae,0.2,non_defer,880,0.14886363636363636,0.14545454545454545,0.837928635822764,0.7210198945557719,0.4655609237796708,0.31363636363636366,0.11477272727272728,0.06363636363636363,526,0.5977272727272728,78,0.08863636363636364,175,0.19886363636363635,45,0.05113636363636364,56,0.06363636363636363,131,276,0.31363636363636366,101,0.11477272727272728,56,0.06363636363636363,29,0.03295454545454545,20,0.022727272727272728,12,0.013636363636363636,13,0.014772727272727272
high_entropy,retfound_mae,0.2,all,1100,0.22090909090909092,0.19636363636363635,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,retfound_mae,0.3,defer,330,0.5,0.3787878787878788,0.5059947162256108,0.21811148151423393,1.125010643865147,0.7787878787878788,0.21212121212121213,0.13636363636363635,28,0.08484848484848485,45,0.13636363636363635,187,0.5666666666666667,25,0.07575757575757576,45,0.13636363636363635,165,257,0.7787878787878788,70,0.21212121212121213,45,0.13636363636363635,37,0.11212121212121212,32,0.09696969696969697,21,0.06363636363636363,26,0.07878787878787878
high_entropy,retfound_mae,0.3,non_defer,770,0.1012987012987013,0.11818181818181818,0.8739557498439624,0.7800830367465528,0.39102827887750896,0.24675324675324675,0.1,0.05714285714285714,514,0.6675324675324675,66,0.08571428571428572,113,0.14675324675324675,33,0.04285714285714286,44,0.05714285714285714,78,190,0.24675324675324675,77,0.1,44,0.05714285714285714,19,0.024675324675324677,13,0.016883116883116882,7,0.00909090909090909,8,0.01038961038961039
high_entropy,retfound_mae,0.3,all,1100,0.22090909090909092,0.19636363636363635,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,retfound_mae,0.4,defer,440,0.45227272727272727,0.36363636363636365,0.5443705705854693,0.2653781388476072,1.0572972841264763,0.7681818181818182,0.22272727272727272,0.1409090909090909,46,0.10454545454545454,56,0.12727272727272726,240,0.5454545454545454,36,0.08181818181818182,62,0.1409090909090909,199,338,0.7681818181818182,98,0.22272727272727272,62,0.1409090909090909,43,0.09772727272727273,40,0.09090909090909091,27,0.06136363636363636,32,0.07272727272727272
high_entropy,retfound_mae,0.4,non_defer,660,0.06666666666666667,0.08484848484848485,0.9096986858737821,0.8422338577296905,0.313840124538683,0.16515151515151516,0.07424242424242425,0.04090909090909091,496,0.7515151515151515,55,0.08333333333333333,60,0.09090909090909091,22,0.03333333333333333,27,0.04090909090909091,44,109,0.16515151515151516,49,0.07424242424242425,27,0.04090909090909091,13,0.019696969696969695,5,0.007575757575757576,1,0.0015151515151515152,2,0.0030303030303030303
high_entropy,retfound_mae,0.4,all,1100,0.22090909090909092,0.19636363636363635,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,retfound_mae,0.5,defer,550,0.4036363636363636,0.3381818181818182,0.5876427789782516,0.3299817125615353,0.9856567703512145,0.7145454545454546,0.21818181818181817,0.1290909090909091,82,0.14909090909090908,75,0.13636363636363635,273,0.49636363636363634,49,0.0890909090909091,71,0.1290909090909091,222,393,0.7145454545454546,120,0.21818181818181817,71,0.1290909090909091,47,0.08545454545454545,44,0.08,27,0.04909090909090909,33,0.06
high_entropy,retfound_mae,0.5,non_defer,550,0.038181818181818185,0.05454545454545454,0.9394921005386624,0.893001427792179,0.23678920639638606,0.09818181818181818,0.04909090909090909,0.03272727272727273,460,0.8363636363636363,36,0.06545454545454546,27,0.04909090909090909,9,0.016363636363636365,18,0.03272727272727273,21,54,0.09818181818181818,27,0.04909090909090909,18,0.03272727272727273,9,0.016363636363636365,1,0.0018181818181818182,1,0.0018181818181818182,1,0.0018181818181818182
high_entropy,retfound_mae,0.5,all,1100,0.22090909090909092,0.19636363636363635,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,both_average,0.1,defer,110,0.6090909090909091,0.42727272727272725,0.42245928569476937,0.1311780425421734,1.2782617051774126,0.7818181818181819,0.22727272727272727,0.17272727272727273,4,0.03636363636363636,20,0.18181818181818182,61,0.5545454545454546,6,0.05454545454545454,19,0.17272727272727273,67,86,0.7818181818181819,25,0.22727272727272727,19,0.17272727272727273,16,0.14545454545454545,18,0.16363636363636364,12,0.10909090909090909,16,0.14545454545454545
high_entropy,both_average,0.1,non_defer,990,0.17777777777777778,0.13131313131313133,0.8014683457655333,0.6648597399140442,0.5371075753956212,0.36464646464646466,0.12323232323232323,0.0707070707070707,538,0.5434343434343434,91,0.09191919191919191,239,0.24141414141414141,52,0.052525252525252523,70,0.0707070707070707,176,361,0.36464646464646466,122,0.12323232323232323,70,0.0707070707070707,40,0.04040404040404041,27,0.02727272727272727,16,0.01616161616161616,18,0.01818181818181818
high_entropy,both_average,0.1,all,1100,0.22090909090909092,0.16090909090909092,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,both_average,0.2,defer,220,0.509090909090909,0.35909090909090907,0.46612265550122833,0.17337827266119848,1.1938712467503183,0.7772727272727272,0.20909090909090908,0.15,16,0.07272727272727272,33,0.15,125,0.5681818181818182,13,0.05909090909090909,33,0.15,112,171,0.7772727272727272,46,0.20909090909090908,33,0.15,27,0.12272727272727273,25,0.11363636363636363,16,0.07272727272727272,21,0.09545454545454546
high_entropy,both_average,0.2,non_defer,880,0.14886363636363636,0.11136363636363636,0.837928635822764,0.7210198945557719,0.4655609237796708,0.31363636363636366,0.11477272727272728,0.06363636363636363,526,0.5977272727272728,78,0.08863636363636364,175,0.19886363636363635,45,0.05113636363636364,56,0.06363636363636363,131,276,0.31363636363636366,101,0.11477272727272728,56,0.06363636363636363,29,0.03295454545454545,20,0.022727272727272728,12,0.013636363636363636,13,0.014772727272727272
high_entropy,both_average,0.2,all,1100,0.22090909090909092,0.16090909090909092,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,both_average,0.3,defer,330,0.5,0.3303030303030303,0.5059947162256108,0.21811148151423393,1.125010643865147,0.7787878787878788,0.21212121212121213,0.13636363636363635,28,0.08484848484848485,45,0.13636363636363635,187,0.5666666666666667,25,0.07575757575757576,45,0.13636363636363635,165,257,0.7787878787878788,70,0.21212121212121213,45,0.13636363636363635,37,0.11212121212121212,32,0.09696969696969697,21,0.06363636363636363,26,0.07878787878787878
high_entropy,both_average,0.3,non_defer,770,0.1012987012987013,0.08831168831168831,0.8739557498439624,0.7800830367465528,0.39102827887750896,0.24675324675324675,0.1,0.05714285714285714,514,0.6675324675324675,66,0.08571428571428572,113,0.14675324675324675,33,0.04285714285714286,44,0.05714285714285714,78,190,0.24675324675324675,77,0.1,44,0.05714285714285714,19,0.024675324675324677,13,0.016883116883116882,7,0.00909090909090909,8,0.01038961038961039
high_entropy,both_average,0.3,all,1100,0.22090909090909092,0.16090909090909092,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,both_average,0.4,defer,440,0.45227272727272727,0.31363636363636366,0.5443705705854693,0.2653781388476072,1.0572972841264763,0.7681818181818182,0.22272727272727272,0.1409090909090909,46,0.10454545454545454,56,0.12727272727272726,240,0.5454545454545454,36,0.08181818181818182,62,0.1409090909090909,199,338,0.7681818181818182,98,0.22272727272727272,62,0.1409090909090909,43,0.09772727272727273,40,0.09090909090909091,27,0.06136363636363636,32,0.07272727272727272
high_entropy,both_average,0.4,non_defer,660,0.06666666666666667,0.05909090909090909,0.9096986858737821,0.8422338577296905,0.313840124538683,0.16515151515151516,0.07424242424242425,0.04090909090909091,496,0.7515151515151515,55,0.08333333333333333,60,0.09090909090909091,22,0.03333333333333333,27,0.04090909090909091,44,109,0.16515151515151516,49,0.07424242424242425,27,0.04090909090909091,13,0.019696969696969695,5,0.007575757575757576,1,0.0015151515151515152,2,0.0030303030303030303
high_entropy,both_average,0.4,all,1100,0.22090909090909092,0.16090909090909092,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,both_average,0.5,defer,550,0.4036363636363636,0.28,0.5876427789782516,0.3299817125615353,0.9856567703512145,0.7145454545454546,0.21818181818181817,0.1290909090909091,82,0.14909090909090908,75,0.13636363636363635,273,0.49636363636363634,49,0.0890909090909091,71,0.1290909090909091,222,393,0.7145454545454546,120,0.21818181818181817,71,0.1290909090909091,47,0.08545454545454545,44,0.08,27,0.04909090909090909,33,0.06
high_entropy,both_average,0.5,non_defer,550,0.038181818181818185,0.04181818181818182,0.9394921005386624,0.893001427792179,0.23678920639638606,0.09818181818181818,0.04909090909090909,0.03272727272727273,460,0.8363636363636363,36,0.06545454545454546,27,0.04909090909090909,9,0.016363636363636365,18,0.03272727272727273,21,54,0.09818181818181818,27,0.04909090909090909,18,0.03272727272727273,9,0.016363636363636365,1,0.0018181818181818182,1,0.0018181818181818182,1,0.0018181818181818182
high_entropy,both_average,0.5,all,1100,0.22090909090909092,0.16090909090909092,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,dense_average,0.1,defer,110,0.6090909090909091,0.41818181818181815,0.42245928569476937,0.1311780425421734,1.2782617051774126,0.7818181818181819,0.22727272727272727,0.17272727272727273,4,0.03636363636363636,20,0.18181818181818182,61,0.5545454545454546,6,0.05454545454545454,19,0.17272727272727273,67,86,0.7818181818181819,25,0.22727272727272727,19,0.17272727272727273,16,0.14545454545454545,18,0.16363636363636364,12,0.10909090909090909,16,0.14545454545454545
high_entropy,dense_average,0.1,non_defer,990,0.17777777777777778,0.1414141414141414,0.8014683457655333,0.6648597399140442,0.5371075753956212,0.36464646464646466,0.12323232323232323,0.0707070707070707,538,0.5434343434343434,91,0.09191919191919191,239,0.24141414141414141,52,0.052525252525252523,70,0.0707070707070707,176,361,0.36464646464646466,122,0.12323232323232323,70,0.0707070707070707,40,0.04040404040404041,27,0.02727272727272727,16,0.01616161616161616,18,0.01818181818181818
high_entropy,dense_average,0.1,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,dense_average,0.2,defer,220,0.509090909090909,0.35,0.46612265550122833,0.17337827266119848,1.1938712467503183,0.7772727272727272,0.20909090909090908,0.15,16,0.07272727272727272,33,0.15,125,0.5681818181818182,13,0.05909090909090909,33,0.15,112,171,0.7772727272727272,46,0.20909090909090908,33,0.15,27,0.12272727272727273,25,0.11363636363636363,16,0.07272727272727272,21,0.09545454545454546
high_entropy,dense_average,0.2,non_defer,880,0.14886363636363636,0.12386363636363637,0.837928635822764,0.7210198945557719,0.4655609237796708,0.31363636363636366,0.11477272727272728,0.06363636363636363,526,0.5977272727272728,78,0.08863636363636364,175,0.19886363636363635,45,0.05113636363636364,56,0.06363636363636363,131,276,0.31363636363636366,101,0.11477272727272728,56,0.06363636363636363,29,0.03295454545454545,20,0.022727272727272728,12,0.013636363636363636,13,0.014772727272727272
high_entropy,dense_average,0.2,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,dense_average,0.3,defer,330,0.5,0.3484848484848485,0.5059947162256108,0.21811148151423393,1.125010643865147,0.7787878787878788,0.21212121212121213,0.13636363636363635,28,0.08484848484848485,45,0.13636363636363635,187,0.5666666666666667,25,0.07575757575757576,45,0.13636363636363635,165,257,0.7787878787878788,70,0.21212121212121213,45,0.13636363636363635,37,0.11212121212121212,32,0.09696969696969697,21,0.06363636363636363,26,0.07878787878787878
high_entropy,dense_average,0.3,non_defer,770,0.1012987012987013,0.09220779220779221,0.8739557498439624,0.7800830367465528,0.39102827887750896,0.24675324675324675,0.1,0.05714285714285714,514,0.6675324675324675,66,0.08571428571428572,113,0.14675324675324675,33,0.04285714285714286,44,0.05714285714285714,78,190,0.24675324675324675,77,0.1,44,0.05714285714285714,19,0.024675324675324677,13,0.016883116883116882,7,0.00909090909090909,8,0.01038961038961039
high_entropy,dense_average,0.3,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,dense_average,0.4,defer,440,0.45227272727272727,0.33181818181818185,0.5443705705854693,0.2653781388476072,1.0572972841264763,0.7681818181818182,0.22272727272727272,0.1409090909090909,46,0.10454545454545454,56,0.12727272727272726,240,0.5454545454545454,36,0.08181818181818182,62,0.1409090909090909,199,338,0.7681818181818182,98,0.22272727272727272,62,0.1409090909090909,43,0.09772727272727273,40,0.09090909090909091,27,0.06136363636363636,32,0.07272727272727272
high_entropy,dense_average,0.4,non_defer,660,0.06666666666666667,0.06060606060606061,0.9096986858737821,0.8422338577296905,0.313840124538683,0.16515151515151516,0.07424242424242425,0.04090909090909091,496,0.7515151515151515,55,0.08333333333333333,60,0.09090909090909091,22,0.03333333333333333,27,0.04090909090909091,44,109,0.16515151515151516,49,0.07424242424242425,27,0.04090909090909091,13,0.019696969696969695,5,0.007575757575757576,1,0.0015151515151515152,2,0.0030303030303030303
high_entropy,dense_average,0.4,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,dense_average,0.5,defer,550,0.4036363636363636,0.3,0.5876427789782516,0.3299817125615353,0.9856567703512145,0.7145454545454546,0.21818181818181817,0.1290909090909091,82,0.14909090909090908,75,0.13636363636363635,273,0.49636363636363634,49,0.0890909090909091,71,0.1290909090909091,222,393,0.7145454545454546,120,0.21818181818181817,71,0.1290909090909091,47,0.08545454545454545,44,0.08,27,0.04909090909090909,33,0.06
high_entropy,dense_average,0.5,non_defer,550,0.038181818181818185,0.038181818181818185,0.9394921005386624,0.893001427792179,0.23678920639638606,0.09818181818181818,0.04909090909090909,0.03272727272727273,460,0.8363636363636363,36,0.06545454545454546,27,0.04909090909090909,9,0.016363636363636365,18,0.03272727272727273,21,54,0.09818181818181818,27,0.04909090909090909,18,0.03272727272727273,9,0.016363636363636365,1,0.0018181818181818182,1,0.0018181818181818182,1,0.0018181818181818182
high_entropy,dense_average,0.5,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
